Column1;Column2;Column3
44893;256;263
44920;255;263
44947;256;262
44976;256;262
45002;256;262
45030;256;263
45057;255;263
45083;256;262
45110;256;262
45136;254;263
45163;256;263
45190;255;262
45216;256;262
45243;256;263
45271;256;263
45299;256;263
45326;256;262
45352;256;262
45379;256;262
45407;256;266
45433;256;263
45460;256;263
45522;255;262
45549;256;263
45576;256;262
45602;256;262
45629;256;263
45659;255;262
45685;256;263
45712;256;263
45739;256;262
45765;256;262
45792;255;263
45819;260;262
45846;255;263
45873;255;263
45899;256;262
45926;256;263
45953;256;262
45982;254;263
46009;255;263
46035;256;262
46062;256;263
46089;256;263
46115;256;263
46143;255;263
46170;256;263
46196;256;263
46223;255;263
46249;256;263
46276;256;262
46303;256;263
46332;255;262
46359;256;262
46386;255;263
46412;256;263
46439;255;263
46466;255;262
46492;256;263
46520;256;263
46582;256;263
46609;256;263
46636;256;262
46662;256;263
46692;255;263
46718;256;262
46745;256;262
46772;256;263
46798;256;263
46825;256;262
46852;256;263
46879;256;263
46906;255;262
46932;256;263
46959;256;263
46986;256;263
47015;256;262
47042;260;263
47069;256;263
47095;256;263
47158;256;262
47184;256;262
47211;256;262
47239;256;263
47265;256;263
47292;256;262
47319;256;263
47345;256;263
47375;256;263
47401;256;263
47428;256;262
47455;255;262
47481;256;262
47508;256;268
47535;256;264
47562;255;263
47589;256;262
47616;256;262
47642;256;263
47669;256;263
47698;255;263
47725;256;263
47752;255;263
47778;255;263
47805;256;262
47832;256;262
47858;256;262
47885;256;262
47912;256;263
47939;255;263
47966;256;262
47992;256;262
48022;256;262
48049;256;263
48075;256;263
48102;256;263
48129;256;263
48155;256;262
48183;256;262
48209;256;263
48236;256;267
48263;256;263
48289;255;263
48352;256;262
48378;256;267
48408;255;262
48435;256;267
48461;256;267
48489;256;262
48516;256;263
48542;255;262
48569;255;263
48595;256;262
48622;256;262
48650;256;262
48676;255;262
48703;255;263
48733;256;263
48795;255;263
48822;260;262
48848;256;263
48875;256;262
48903;256;263
48929;256;262
48956;255;263
48983;256;262
49009;256;267
49036;256;263
49062;256;263
49092;260;263
49119;256;263
49145;256;262
49172;260;263
49199;256;262
49225;256;263
49253;255;268
49280;255;263
49306;255;262
49333;255;263
49359;256;262
49386;256;263
49416;256;263
49442;255;262
49469;256;263
49496;256;262
49522;256;263
49549;256;263
49575;256;263
49602;256;263
49630;256;263
49656;260;263
49683;255;263
49710;260;262
49739;260;262
49766;260;262
49793;260;263
49819;255;268
49846;256;263
49872;260;263
49899;256;264
49926;255;264
49953;260;263
49980;256;262
50007;256;267
50033;256;267
50063;260;268
50125;255;262
50152;256;268
50179;256;263
50205;256;267
50232;260;262
50259;255;263
50286;255;262
50313;260;262
50339;256;263
50366;260;263
50393;255;263
50455;256;262
50485;260;262
50511;256;262
50538;260;267
50565;256;263
50591;256;267
50618;255;263
50646;260;263
50672;260;263
50699;256;263
50725;259;263
50752;260;263
50779;260;263
50808;256;268
50835;256;263
50862;256;266
50888;256;262
50915;260;263
50941;256;263
50969;255;263
50996;256;263
51022;255;263
51049;256;263
51076;256;263
51102;256;262
51132;260;263
51159;256;263
51185;256;263
51212;256;262
51238;256;263
51265;256;263
51292;256;268
51319;256;263
51346;255;264
51373;256;263
51399;256;263
51426;256;263
51456;255;263
51482;256;263
51509;256;263
51535;256;262
51562;256;264
51589;256;264
51615;255;263
51642;255;263
51670;256;263
51696;255;263
51723;256;263
51749;256;262
51779;255;267
51806;256;263
51832;256;263
51895;255;263
51921;260;262
51948;256;262
51975;255;267
52001;256;266
52029;256;266
52091;256;268
52118;255;263
52145;255;263
52171;255;263
52201;256;263
52228;256;263
52254;255;268
52281;256;267
52307;256;263
52334;256;264
52361;256;263
52388;256;263
52415;255;263
52442;255;263
52468;256;267
52495;256;266
52525;255;263
52551;256;263
52578;260;263
52604;256;262
52631;256;262
52658;256;263
52684;256;267
52712;256;262
52739;255;262
52765;255;263
52792;256;263
52818;260;263
52843;256;262
52870;256;262
52896;256;263
52924;256;263
52951;255;262
52977;256;262
53004;256;268
53030;256;262
53057;255;262
53084;256;262
53111;256;262
53138;256;263
53167;256;263
53193;256;267
53221;256;263
53248;256;262
53274;256;268
53301;255;263
53327;256;262
53354;256;263
53381;256;263
53407;256;262
53435;257;262
53462;256;262
53490;256;264
53517;256;267
53543;256;262
53570;256;262
53598;255;263
53660;256;263
53687;256;268
53749;255;263
53776;256;263
53803;255;263
53829;256;268
53856;256;263
53885;255;263
53912;256;262
53939;256;262
53965;256;262
53992;255;267
54020;255;263
54046;256;268
54073;255;262
54099;256;263
54126;256;263
54153;256;264
54180;255;262
54207;256;263
54236;256;263
54262;255;262
54290;255;263
54317;255;263
54343;256;264
54370;256;267
54396;256;264
54423;256;267
54450;256;264
54476;256;262
54504;255;267
54531;256;268
54559;256;262
54586;255;267
54614;256;267
54640;256;267
54667;256;263
54693;256;263
54720;260;267
54747;255;264
54773;260;268
54800;256;267
54828;255;268
54854;256;262
54883;256;262
54909;255;267
54936;256;262
54964;260;263
54990;256;263
55017;256;263
55044;255;263
55070;255;263
55097;256;263
55123;256;264
55150;256;264
55177;256;262
55206;255;267
55233;256;262
55260;256;262
55286;256;263
55349;256;268
55376;256;267
55403;255;262
55465;256;262
55492;256;263
